"Fish_id","Predicted","Actual","Confidence","Correct","Kusko","Nush","Yukon"
"2011_nk_119","Nush","Nush",0.452,TRUE,0.29,0.452,0.258
"2011_nk_12","Nush","Nush",0.628,TRUE,0.196,0.628,0.176
"2011_nk_122","Nush","Nush",0.864,TRUE,0.128,0.864,0.008
"2011_nk_134","Nush","Nush",0.508,TRUE,0.304,0.508,0.188
"2011_nk_143","Nush","Nush",0.536,TRUE,0.372,0.536,0.092
"2011_nk_149","Nush","Nush",0.66,TRUE,0.28,0.66,0.06
"2011_nk_150","Nush","Nush",0.858,TRUE,0.132,0.858,0.01
"2011_nk_159","Nush","Nush",0.922,TRUE,0.054,0.922,0.024
"2011_nk_169","Nush","Nush",0.576,TRUE,0.324,0.576,0.1
"2011_nk_171","Nush","Nush",0.84,TRUE,0.146,0.84,0.014
"2011_nk_173","Nush","Nush",0.558,TRUE,0.334,0.558,0.108
"2011_nk_174","Nush","Nush",0.91,TRUE,0.072,0.91,0.018
"2011_nk_178","Nush","Nush",0.906,TRUE,0.076,0.906,0.018
"2011_nk_182","Kusko","Nush",0.422,FALSE,0.422,0.386,0.192
"2011_nk_186","Nush","Nush",0.936,TRUE,0.056,0.936,0.008
"2011_nk_201","Kusko","Nush",0.476,FALSE,0.476,0.458,0.066
"2011_nk_206","Nush","Nush",0.608,TRUE,0.214,0.608,0.178
"2011_nk_212","Nush","Nush",0.638,TRUE,0.234,0.638,0.128
"2011_nk_226","Nush","Nush",0.716,TRUE,0.186,0.716,0.098
"2011_nk_230","Nush","Nush",0.512,TRUE,0.372,0.512,0.116
"2011_nk_236","Nush","Nush",0.74,TRUE,0.17,0.74,0.09
"2011_nk_237","Nush","Nush",0.856,TRUE,0.116,0.856,0.028
"2011_nk_23b","Kusko","Nush",0.484,FALSE,0.484,0.458,0.058
"2011_nk_24","Nush","Nush",0.764,TRUE,0.202,0.764,0.034
"2011_nk_26","Nush","Nush",0.79,TRUE,0.174,0.79,0.036
"2011_nk_27","Nush","Nush",0.728,TRUE,0.214,0.728,0.058
"2011_nk_31","Nush","Nush",0.762,TRUE,0.174,0.762,0.064
"2011_nk_33","Nush","Nush",0.764,TRUE,0.178,0.764,0.058
"2011_nk_39","Nush","Nush",0.63,TRUE,0.296,0.63,0.074
"2011_nk_42","Nush","Nush",0.652,TRUE,0.24,0.652,0.108
"2011_nk_51","Nush","Nush",0.58,TRUE,0.354,0.58,0.066
"2011_nk_68","Nush","Nush",0.524,TRUE,0.278,0.524,0.198
"2011_nk_94","Nush","Nush",0.52,TRUE,0.358,0.52,0.122
"2014_nk_100","Nush","Nush",0.46,TRUE,0.406,0.46,0.134
"2014_nk_101_redo","Kusko","Nush",0.362,FALSE,0.362,0.34,0.298
"2014_nk_109","Nush","Nush",0.474,TRUE,0.38,0.474,0.146
"2014_nk_129","Kusko","Nush",0.526,FALSE,0.526,0.284,0.19
"2014_nk_141","Nush","Nush",0.46,TRUE,0.35,0.46,0.19
"2014_nk_148","Nush","Nush",0.734,TRUE,0.214,0.734,0.052
"2014_nk_150","Kusko","Nush",0.482,FALSE,0.482,0.41,0.108
"2014_nk_154","Nush","Nush",0.722,TRUE,0.174,0.722,0.104
"2014_nk_157","Kusko","Nush",0.458,FALSE,0.458,0.272,0.27
"2014_nk_158","Kusko","Nush",0.548,FALSE,0.548,0.308,0.144
"2014_nk_161","Nush","Nush",0.788,TRUE,0.164,0.788,0.048
"2014_nk_162","Kusko","Nush",0.578,FALSE,0.578,0.252,0.17
"2014_nk_168","Kusko","Nush",0.43,FALSE,0.43,0.38,0.19
"2014_nk_169","Kusko","Nush",0.468,FALSE,0.468,0.294,0.238
"2014_nk_17","Nush","Nush",0.592,TRUE,0.332,0.592,0.076
"2014_nk_172","Kusko","Nush",0.422,FALSE,0.422,0.35,0.228
"2014_nk_176","Kusko","Nush",0.524,FALSE,0.524,0.362,0.114
"2014_nk_181","Kusko","Nush",0.446,FALSE,0.446,0.34,0.214
"2014_nk_183","Nush","Nush",0.528,TRUE,0.38,0.528,0.092
"2014_nk_191","Kusko","Nush",0.464,FALSE,0.464,0.244,0.292
"2014_nk_200","Kusko","Nush",0.452,FALSE,0.452,0.342,0.206
"2014_nk_201","Kusko","Nush",0.49,FALSE,0.49,0.346,0.164
"2014_nk_207","Nush","Nush",0.698,TRUE,0.198,0.698,0.104
"2014_nk_208","Nush","Nush",0.598,TRUE,0.252,0.598,0.15
"2014_nk_223","Kusko","Nush",0.456,FALSE,0.456,0.446,0.098
"2014_nk_232","Nush","Nush",0.874,TRUE,0.11,0.874,0.016
"2014_nk_236","Kusko","Nush",0.416,FALSE,0.416,0.348,0.236
"2014_nk_239","Kusko","Nush",0.534,FALSE,0.534,0.398,0.068
"2014_nk_250","Kusko","Nush",0.492,FALSE,0.492,0.364,0.144
"2014_nk_258","Kusko","Nush",0.468,FALSE,0.468,0.264,0.268
"2014_nk_26","Kusko","Nush",0.416,FALSE,0.416,0.414,0.17
"2014_nk_274","Nush","Nush",0.57,TRUE,0.356,0.57,0.074
"2014_nk_275","Kusko","Nush",0.514,FALSE,0.514,0.326,0.16
"2014_nk_28","Nush","Nush",0.6,TRUE,0.296,0.6,0.104
"2014_nk_281","Kusko","Nush",0.38,FALSE,0.38,0.34,0.28
"2014_nk_29B","Kusko","Nush",0.494,FALSE,0.494,0.306,0.2
"2014_nk_37","Kusko","Nush",0.438,FALSE,0.438,0.29,0.272
"2014_nk_51","Nush","Nush",0.624,TRUE,0.254,0.624,0.122
"2014_nk_73","Kusko","Nush",0.462,FALSE,0.462,0.352,0.186
"2014_nk_93","Nush","Nush",0.642,TRUE,0.286,0.642,0.072
"2014_nk_94_redo","Nush","Nush",0.488,TRUE,0.35,0.488,0.162
"2015_nk_012","Nush","Nush",0.708,TRUE,0.258,0.708,0.034
